u1_5nodes_1,u1_5nodes_2,u1_5nodes_3,u1_5nodes_4,u1_5nodes_5,u1_5nodes_6,u1_5nodes_7,u1_5nodes_8,u1_5nodes_9,u1_5nodes_10,u2_5nodes_1,u2_5nodes_2,u2_5nodes_3,u2_5nodes_4,u2_5nodes_5,u2_5nodes_6,u2_5nodes_7,u2_5nodes_8,u2_5nodes_9,u2_5nodes_10
-0.0243509610181329,-0.023607829788242,-0.0180856796956592,-0.0275009862920759,-0.0180821880637834,-0.0275021378242602,-0.0167567358370838,-0.0271297058669864,0.0221616753975331,-0.0171290076628797,-0.0192082821441628,0.0351882999316701,-0.00205304604419524,0.0463122538922109,0.00933399802094887,0.0392097208782732,0.0187669472615738,0.0301963420489403,0.0196159676222499,0.0274590265624613
-0.0276590912589691,-0.0190929837117386,-0.0218786038344273,-0.0271959475310767,-0.0177676284087343,-0.0282120513186665,-0.0173886195265358,-0.0283723091857863,0.0149537146453966,-0.0207573681010405,-0.0225799059818512,0.0196541475022625,-0.0102756283787301,0.0270005142444181,0.00111074338893871,0.0307682261833654,0.00872894532230193,0.0314799533367042,0.017325513708269,0.0254837718253728
-0.0204798644517967,-0.0263731107036533,-0.00968689599359391,-0.0299255202477274,0.0310329311945946,-0.0157332103219784,0.0459999747662644,0.00628168863603293,0.0461748522308017,0.00563042977839995,-0.00564929459139633,0.0351361070988727,0.0160769626229991,0.0315414612300617,0.029174146305056,0.0224758934220862,0.0480410003081566,-0.000789666580401756,0.0481947691151823,-0.000800534200857295
-0.0216547175541074,-0.0232424142741651,-0.0100430096505447,-0.0315292659526,0.0101456037245863,-0.025396473800243,0.0385668371286678,-0.00815101128606883,0.0423348573574451,0.00785928219969485,-0.0235562171959547,0.0176534730834991,-0.00335562478313536,0.0356404516464593,0.0127129602298934,0.0365799224514099,0.0269508675218605,0.029260278835863,0.036544467369095,0.0140956618659647
-0.0393114615457515,-0.0152441170096008,-0.0226957056355392,-0.0244761177747827,-0.0134262023783287,-0.0324057174926993,0.000593917646947116,-0.0316682203277506,0.0270262092327285,-0.0175376727692782,-0.0245401547816112,0.00823058966374941,-0.00399663732929726,0.0228848703090906,0.0131033353238785,0.0275883789090515,0.019564130745342,0.031578834861532,0.0300018035168314,0.0217552569174977
-0.0360741927595136,-0.0142859719832079,-0.0257587842063559,-0.0240237764834867,-0.0156630906884055,-0.0289692159659645,0.00162329126950681,-0.0264876738411528,0.0256281748698492,-0.0167783358402038,-0.0226925960367988,0.0168360560789624,0.00208462880455871,0.0382341111868663,0.0167844211385086,0.0419739940395827,0.0328373448952388,0.0296182959526348,0.042647078545722,0.0164913185332783
-0.0392967448846586,-0.0116548012535671,-0.0248027152651295,-0.0242844260534186,-0.0123681389967323,-0.0277802857938318,0.00134341225840536,-0.0258520691845169,0.027076351711921,-0.0176262798383862,-0.0241221499324699,0.0163877837818879,-0.00781522223480973,0.0251917015286363,0.00374033819550095,0.0351072090209703,0.0114865068685753,0.0323022313109094,0.0247462651595381,0.0227055876234156
-0.0339119671985033,-0.0130456515308773,-0.0187611482808939,-0.0249397296112418,-0.00850368368356772,-0.027063739105734,0.00972415683248551,-0.0248367804547391,0.0320703895807926,-0.0166039125461819,-0.0141579536526381,0.0229326996694892,0.00782201912125158,0.0385202753660666,0.0201716464664834,0.0295859890143768,0.0331378452265958,0.0169875803332449,0.0406659499125388,0.00950858437442682
-0.0208302467539343,-0.0174574255297085,-0.0146405492284011,-0.0302844223794181,-0.00657602726273198,-0.0315351012896743,0.0124883715482144,-0.0238065334404193,0.0384721567331978,-0.00991926847366565,-0.0292166025324782,0.0144493584732065,-0.00942868294250604,0.0221454852770826,0.00436360514996958,0.0306591909767472,0.0203988061088491,0.0182310979960648,0.0302970410063844,0.0111262752330041
-0.0334946642742207,-0.00919790948419544,-0.0212406596817395,-0.0247303937607924,-0.0101555335185663,-0.0297401551401933,0.00580686446515381,-0.0281863636958692,0.029956099567651,-0.0170807426911073,-0.0242772618907638,0.0197467776967338,-0.00253405623154026,0.034332574541608,0.0110857688883888,0.0397874601629885,0.024979671268034,0.0312878748379439,0.0340652998104128,0.0203079826597196
-0.0313364032628443,-0.0128997877355678,-0.0180913029342431,-0.0225797393293364,-0.0108491968939368,-0.0293140895570905,0.00724707154373451,-0.0250700898885158,0.0273995451082504,-0.0140641832033486,-0.0253649549159855,0.0136478473157854,-0.00273109412009303,0.0318392250698948,0.0126984505740618,0.0453480127713934,0.0213716381006794,0.0410626511977619,0.0343705267651019,0.0245166776161678
-0.0400707721721341,-0.0125792019723364,-0.0260800819176513,-0.0253877161344142,-0.0153182116216254,-0.0321326788490965,0.000271950701792346,-0.0291712299654793,0.0160770611240617,-0.0230269179654741,-0.0332910352856059,0.0218435873146026,-0.0107193697760291,0.0413304533287406,0.00172082009209992,0.0407917905647319,0.0204666735437911,0.0274063864094443,0.0347096520931709,0.0161215780793088
-0.0401852306288421,-0.0154047004604291,-0.0352459016363168,-0.0173892357679745,-0.0231859529935099,-0.0138435279507863,-0.0159231451957744,-0.0196728642063862,-0.000108398844282412,-0.0332662428617178,-0.0447836404250798,0.0137183524564272,-0.0272526136965151,0.0256760582900339,-0.0192251455373072,0.0305216948947704,-0.00546035501369717,0.0482179750357053,0.0179806162629239,0.0154400588668057
