u1_5nodes_1,u1_5nodes_2,u1_5nodes_3,u1_5nodes_4,u1_5nodes_5,u1_5nodes_6,u1_5nodes_7,u1_5nodes_8,u1_5nodes_9,u1_5nodes_10,u2_5nodes_1,u2_5nodes_2,u2_5nodes_3,u2_5nodes_4,u2_5nodes_5,u2_5nodes_6,u2_5nodes_7,u2_5nodes_8,u2_5nodes_9,u2_5nodes_10
-0.0408722204261005,-0.0135864872322021,-0.032884606915249,-0.0174641916753801,-0.0233697956930125,-0.0239758918731944,-0.00421399763209294,-0.0278362178012555,0.008287761955325,-0.02561925811001,-0.0377356299904236,0.00228041846807211,-0.0307375456777915,0.00920553775817308,-0.0119875483498773,0.02127374435616,0.00718009017736559,0.0246591433276452,0.0232054507437893,0.0207223592861083
-0.0269608940994632,-0.0173904295223373,-0.0199534665536751,-0.0272689568511839,-0.0178438699483875,-0.0279052946226446,-0.0170973547529043,-0.0279209255451869,0.0110524023325883,-0.0197475945337238,-0.0299786375376537,0.00655570518678766,-0.0231690141983182,0.0099743495025222,-0.00960738296488133,0.0170882457869504,0.0143047965605595,0.0242956675431972,0.0365952664454319,0.0248924366790424
-0.040463914149139,-0.0139625948568373,-0.0235310790706759,-0.0223593516123701,-0.0100723147737022,-0.0262204387025311,0.00107721871778505,-0.0277950474811993,0.0234323152139308,-0.0203076484864732,-0.0349876603936637,0.002172973736775,-0.0182984432734214,0.0151120648762094,-0.00252407123310246,0.0216606392616546,0.0147739396674835,0.0232573567872233,0.0304067365998613,0.0250223347472364
-0.0335452622566553,-0.0194119340170979,-0.0334376655181274,-0.0193772487504421,-0.018783998777677,-0.024353590382259,0.00287482181201341,-0.0275925952450226,0.0359469939356407,-0.00219190927989635,-0.0107902362411406,0.0185998245487348,-0.00264606228045746,0.0212431150978022,0.00533852401988113,0.0220997337365623,0.0205422963537142,0.0239342928680768,0.036742309954332,0.0211135362480922
-0.033165196968614,-0.0253553244102964,-0.0201046123453274,-0.0291433111919017,-0.0127545686618704,-0.0293123278227257,-0.00638263042997982,-0.0280434679714235,0.0180800354212798,-0.0164307324339035,-0.0343246188630933,0.0070071749624963,-0.0143488423791646,0.0157552395322371,-0.000721900177044214,0.0204284820702625,0.0102776091841673,0.0208227185096969,0.0361320389001694,0.0131269783369662
-0.036140963320689,-0.0186978055120607,-0.0231568665511754,-0.0243250439442355,-0.0150560890422145,-0.0266640641258045,-1.20873668851542e-05,-0.0274731186190635,0.0237258919879658,-0.0165309417807929,-0.0275208876655685,0.0113887488301805,-0.0055931976486545,0.0257352275453791,0.00621272942572319,0.0268680480904227,0.022245867781183,0.0283450662709526,0.0383633395175575,0.0169714286680243
-0.0402243067875881,-0.0187336043659301,-0.0257322808158027,-0.0258908195685659,-0.0156075291656547,-0.02897034617008,-0.00466006104332428,-0.0300437600151519,0.0188056467978072,-0.0211746526080942,-0.0265697511010899,0.010382707926129,-0.0063574987103327,0.025177859934205,0.00435585329424981,0.0270698069342554,0.0243469864654548,0.0272745855854043,0.0413417667723259,0.0142747092364895
-0.0441292742470942,-0.0211484863451543,-0.0331441595487721,-0.027064635335452,-0.0227036176815578,-0.030339779521366,-0.00953769225088476,-0.0291766223199754,0.0146717645977625,-0.0171653446568139,-0.0358517836481203,0.00700973779036011,-0.0246655850521013,0.0178735732839403,-0.00400128733327762,0.0269987616668908,0.0136541246664745,0.0276323265355288,0.0378402900714728,0.0203699321102056
-0.0399196992746431,-0.0182926062611036,-0.0201176664987085,-0.025667362671581,-0.00758023720122863,-0.0292763778887257,0.00649701489380893,-0.0235827937763499,0.0280765346814683,-0.0089746707005723,-0.0288683098587898,0.012930430841264,-0.0067463409996484,0.0249025989812381,0.00677023413379705,0.0261780864903639,0.0271801326989254,0.0255578150741033,0.0421298547966433,0.0143027169071587
-0.0408843219752591,-0.0126346390855116,-0.0239721871863897,-0.0213899367660306,-0.0110589864125575,-0.0255525049031285,0.00335479054596974,-0.028128321659697,0.0242216915777987,-0.0178544631848664,-0.0329122173768767,0.0100037296216044,-0.0082569395744369,0.0267724607016717,0.00786409422869647,0.0290890876728015,0.0233667332394682,0.0291284940256464,0.039044904948872,0.0160532205756215
